"Contractor","Reviewer","Location","Date","Review"
"Matute Roofing", "Shirley E.", "Scotch Plains, NJ", "March 4, 2025", "Excellent service! Very professional team. All work started and finished on time."
"Matute Roofing", "Nick M.", "Totowa, NJ", "February 26, 2025", "Professional, quality and fast work. Giancarlo made the process simple and unstressful."
"Matute Roofing", "George V.", "Roseland, NJ", "February 3, 2025", "Excellent work! Very punctual. Giancarlo was very professional and had a great attitude. All work was done in a timely manner. I highly recommend the company."
"Matute Roofing", "Robbi M.", "Franklin Lakes, NJ", "January 24, 2025", "I was very impressed with my first meeting with Peter Dobrowolski. My estimate appointment was for 4:00 pm and he showed up at 4:01 pm. Peter didn't have to explain much because I was familiar with the roofing process since I met with other roofing companies. He helped us with our color selection and answered all questions. His very polite team showed up early and worked throughout the day with what I saw was only a lunch break (I think). They were extremely great at cleaning up at the end of their workdays, even used a metal roller to pick up nails etc. from around the property. What also impressed me was that since we replaced all the skylights they had a worker come inside to make sure they were properly centered when looking up to the sky. Peter made sure we were completely satisfied with the job. I HIGHLY recommend Matute."
"Matute Roofing", "Paul Kimball", "Not specified", "11 months ago", "Jose (Owner) was amazing to deal with. I wish all contractors were like Jose. The roof job was perfect."
"Matute Roofing", "Debra Esposito", "Not specified", "A year ago", "We were upgrading our whole house after 25 years and Jeff of Matute was recommended by three of our neighbors, who had their roof done. During the installation of our roof, they repaired the chimney and a deteriorated vent pipe, both of which we would have never known if Matute hadn't let us know about it. Jeff overlooked the job almost every day, just to stop by and ensure all was going well. Matute also did the siding on our house and it looks beautiful. We get compliments every day on how beautiful the house looks. We would highly recommend Matute."
"Matute Roofing", "Greg Kahn", "Not specified", "A year ago", "Have you ever had a major home project done by a contractor who gave you complete confidence that they were totally trustworthy? It is a great feeling, the kind of feeling we had when Danny, the Matute Roofing representative, gave us an estimate after explaining in detail how the project would be completed. The estimate was significantly lower than others, and we were sold when Danny said he would supervise our roofing job. The Matute Roofing team of 10 men arrived when promised, and they were all experienced professionals who worked efficiently and carefully. The cleanup was thorough, and the roof looks great. I highly recommend Matute Roofing."
"Matute Roofing", "Anna Fantone", "Not specified", "2 years ago", "I received exceptional service from Stephen Dubitz and his company. I had siding replaced on my home. He told me when they would begin and when it would be finished. It was all done in a timely manner and professionally done. Any requests I had were all taken care of. Stephen was on top of things and followed through till the project was completed. I would highly recommend him to upgrade your home."
"Matute Roofing", "Melissa D.", "Not specified", "2 years ago", "I would highly recommend Matute Roofing. Our roof was completed yesterday and we could not be happier. Peter D's presentation of the process, including samples of materials, was so much more than we received from any companies we requested quotes. The price, warranty, and professionalism were what made us select Matute. The process was seamless from prep instructions to payment. Any questions were promptly answered by Peter, who also checked in on the days of work. The team working on the roof were super efficient finishing the job in one day."
"Matute Roofing", "Lorraine L.", "Not specified", "3 years ago", "Stephen Dubits was very professional, always prompt in getting back to me quickly with answers and overseeing the project. The men did a great job and cleaned up nicely. Neighbors complimented the workmanship and outcome. The price was very fair. I would recommend this company."
"Matute Roofing", "Andrei I.", "Not specified", "3 years ago", "I had to repair the roof of my 2-floor house in NJ after strong wind in Winter 21. Danny responded immediately after I sent a request for inspection. The roof was repaired the next day. Unbelievable responsiveness and quality. It is a number 1 roofing company for me forever."
"Preferred Exterior", "Tony", "Not specified", "3 months ago", "Preferred Exterior roofing was great to work with. They were able to fit me into their busy schedule. They came with a crew of 7 guys and got the job done in one day. The workers were all very respectable. They did a great job covering my deck in the back and bushes in the front. They also did a excellent job cleaning up at the end of the day. Highly recommend them."
"Preferred Exterior", "Carol Tay", "Not specified", "2 months ago", "I would recommend Preferred Exterior for roofing. They were recommended by a family member who also received great service for their roof replacement. The office staff is patient, friendly and experienced. Brandy and Brittany provided exceptional customer service. The on-site workers were polite, on-time and cleaned up. The roof looks great."
"Preferred Exterior", "Richard Tool", "Not specified", "3 weeks ago", "A great company to deal with if you need a new roof. Quality work at a good price. My new roof was installed in one day and looks great. Much better work than the previous installer I had."
